split,model,horizon,mean,std,minimum,maximum,count
unseen_pr,M10-1a-Param-RMSCap,1,7.055143183230126,0.009629044691487999,7.04955570739388,7.066261798745259,3
unseen_pr,M10-1a-Param-RMSCap,4,13.636803239491798,0.021838769660987727,13.61309025734638,13.656089583768576,3
unseen_pr,M10-1a-Param-RMSCap,8,20.12141694968413,0.0940637178279411,20.0206082291012,20.206838225922592,3
unseen_pr,M10-1a-Param-RMSCap,16,34.5659247354165,0.2736080875472215,34.2767940160784,34.820780420692664,3
unseen_pr,M10-1a-StateParam-RMSCap,1,7.002440883501606,0.009875035822384526,6.991270235475096,7.010008327464372,3
unseen_pr,M10-1a-StateParam-RMSCap,4,13.50450874875412,0.024651991421202567,13.476931524652072,13.52440827024238,3
unseen_pr,M10-1a-StateParam-RMSCap,8,19.440531121066638,0.09791571488751467,19.33147121251061,19.520886246810612,3
unseen_pr,M10-1a-StateParam-RMSCap,16,32.27308413212514,0.2856859745155262,31.99047434651132,32.561750002946475,3
unseen_pr,M10-Param,1,7.055143183230126,0.009629044691487999,7.04955570739388,7.066261798745259,3
unseen_pr,M10-Param,4,13.636839805127744,0.021868355514155193,13.61309025734638,13.656143859470058,3
unseen_pr,M10-Param,8,20.12448375877383,0.09612176932826517,20.021105633717475,20.21116020450897,3
unseen_pr,M10-Param,16,34.72555602774646,0.3932713570380879,34.28998394032297,35.05456292273951,3
unseen_pr,M10-StateParam,1,7.002440883501606,0.009875035822384526,6.991270235475096,7.010008327464372,3
unseen_pr,M10-StateParam,4,13.504524406096472,0.024659828607625067,13.476931524652072,13.52441033096381,3
unseen_pr,M10-StateParam,8,19.440551563217625,0.09789992115274587,19.33151070499073,19.520897618936647,3
unseen_pr,M10-StateParam,16,32.275447037428734,0.2891011498016081,31.990617411045864,32.56863830026519,3
unseen_pr,M6,1,7.303477711094018,0.0,7.303477711094018,7.303477711094018,3
unseen_pr,M6,4,13.644602864669272,0.0,13.64460286466927,13.64460286466927,3
unseen_pr,M6,8,19.47241968291509,0.0,19.47241968291509,19.47241968291509,3
unseen_pr,M6,16,32.224165902436724,0.0,32.224165902436724,32.224165902436724,3
unseen_ra,M10-1a-Param-RMSCap,1,13.9831738482966,0.011415808805463445,13.975798388656626,13.996323218408165,3
unseen_ra,M10-1a-Param-RMSCap,4,26.04566851869933,0.04987278221323433,25.98836672638637,26.079286592523328,3
unseen_ra,M10-1a-Param-RMSCap,8,36.61019642193508,0.06825119274545803,36.53403070721248,36.6658096311689,3
unseen_ra,M10-1a-Param-RMSCap,16,57.66364300900148,0.049086529134192466,57.62798505207305,57.71962785101522,3
unseen_ra,M10-1a-StateParam-RMSCap,1,13.821816533455353,0.0010654891927275457,13.820600476568554,13.822586337842187,3
unseen_ra,M10-1a-StateParam-RMSCap,4,25.975339610227213,0.2672634634034885,25.66678855296388,26.134805771449187,3
unseen_ra,M10-1a-StateParam-RMSCap,8,34.83914660558877,0.5315796022320382,34.23916166218601,35.25134613712444,3
unseen_ra,M10-1a-StateParam-RMSCap,16,49.04583107221788,0.8747190670406163,48.18414932182103,49.93302911786416,3
unseen_ra,M10-Param,1,13.981854523346646,0.010843211608494649,13.974722218375565,13.994332628891769,3
unseen_ra,M10-Param,4,26.15434812424589,0.08012258368553397,26.062000364278948,26.205374512679786,3
unseen_ra,M10-Param,8,37.801955898511984,0.5389849691730916,37.182472118427285,38.16351170225998,3
unseen_ra,M10-Param,16,165540425553711.03,169359571843653.84,6142717919.146428,338482205754336.7,3
unseen_ra,M10-StateParam,1,13.821842563329552,0.0014521080748326276,13.820665199732712,13.823465159573958,3
unseen_ra,M10-StateParam,4,26.041501877995984,0.29422124477345163,25.701775531754468,26.21374163018796,3
unseen_ra,M10-StateParam,8,35.46673869056669,0.9320906446463008,34.415840035773506,36.193439062314766,3
unseen_ra,M10-StateParam,16,107.76944798002704,101.72929831401622,48.35432205967255,225.23367589713743,3
unseen_ra,M6,1,14.147128735045492,0.0,14.147128735045492,14.147128735045492,3
unseen_ra,M6,4,24.625126695727904,0.0,24.625126695727907,24.625126695727907,3
unseen_ra,M6,8,32.09935672449159,0.0,32.09935672449159,32.09935672449159,3
unseen_ra,M6,16,44.8664131427056,0.0,44.8664131427056,44.8664131427056,3
