split,model,h1_mean,h1_std,h16_mean,h16_std,auc_mean,auc_std,seed_count
unseen_pr,M10-1a-Param-RMSCap,7.055143183230126,0.009629044691487999,34.5659247354165,0.2736080875472215,318.03272938550725,1.7369657606089415,3
unseen_pr,M10-1a-StateParam-RMSCap,7.002440883501606,0.009875035822384526,32.27308413212514,0.2856859745155262,304.3996202515312,1.8128374134626766,3
unseen_pr,M10-Param,7.055143183230126,0.009629044691487999,34.72555602774646,0.3932713570380879,318.38435739205437,1.9927140320555168,3
unseen_pr,M10-StateParam,7.002440883501606,0.009875035822384526,32.275447037428734,0.2891011498016081,304.4035526527637,1.8167157639001492,3
unseen_pr,M6,7.303477711094018,0.0,32.224165902436724,0.0,305.08774759548663,0.0,3
unseen_ra,M10-1a-Param-RMSCap,13.9831738482966,0.011415808805463445,57.66364300900148,0.049086529134192466,565.1343479124803,0.7552938614691664,3
unseen_ra,M10-1a-StateParam-RMSCap,13.821816533455353,0.0010654891927275457,49.04583107221788,0.8747190670406163,520.9578665918001,7.593506443252229,3
unseen_ra,M10-Param,13.981854523346646,0.010843211608494649,165540425553711.03,169359571843653.84,82770629168691.27,84680171361508.52,3
unseen_ra,M10-StateParam,13.821842563329552,0.0014521080748326276,107.76944798002704,101.72929831401622,559.661396459916,63.840365127464025,3
unseen_ra,M6,14.147128735045492,0.0,44.8664131427056,0.0,483.3108845925337,0.0,3
