split,model,horizon,cap_active_mean,cap_active_std,raw_rms_max_mean,raw_rms_max_max,min_scale_mean,min_scale_min
unseen_pr,M10-1a-Param-RMSCap,1,0.0,0.0,2.1073808670043945,2.1073808670043945,1.0,1.0
unseen_pr,M10-1a-Param-RMSCap,4,0.0005486968449931333,0.00047518540674042583,2.205358107884725,2.288438320159912,0.9686853488286337,0.952648103237152
unseen_pr,M10-1a-Param-RMSCap,8,0.0031550068587105004,0.0016631489235915194,3.0387185414632163,3.174492120742798,0.7204174200693766,0.6867480874061584
unseen_pr,M10-1a-Param-RMSCap,16,0.0434842249657064,0.02493138930870249,3.79864772160848,4.159303188323975,0.5852398872375488,0.5241445899009705
unseen_pr,M10-1a-StateParam-RMSCap,1,0.0,0.0,2.1073808670043945,2.1073808670043945,1.0,1.0
unseen_pr,M10-1a-StateParam-RMSCap,4,0.00013717421124826668,0.00023759270337018405,1.965535044670105,2.21992826461792,0.9940160314242045,0.9820480942726136
unseen_pr,M10-1a-StateParam-RMSCap,8,0.0005486968449931333,0.00047518540674042583,2.2215004762013755,2.3799309730529785,0.9604579210281372,0.9160250425338744
unseen_pr,M10-1a-StateParam-RMSCap,16,0.005349794238683067,0.003925675725995678,2.9683266480763755,3.5872955322265625,0.7499062220255533,0.6077214479446411
unseen_ra,M10-1a-Param-RMSCap,1,0.060493827160493806,0.0,2.341114997863769,2.341114997863769,0.6743532419204712,0.6743532419204712
unseen_ra,M10-1a-Param-RMSCap,4,0.25514403292181065,0.029947992425778183,2.651682217915853,2.7049949169158936,0.5957634250322977,0.5836382508277893
unseen_ra,M10-1a-Param-RMSCap,8,0.445679012345679,0.01891661717623244,4.184937397638957,4.323908805847168,0.3778981367746989,0.3651183545589447
unseen_ra,M10-1a-Param-RMSCap,16,0.7212620027434843,0.004874994689689106,5.921456336975098,6.120446681976318,0.2671028772989909,0.2579449713230133
unseen_ra,M10-1a-StateParam-RMSCap,1,0.060493827160493806,0.0,2.341114997863769,2.341114997863769,0.6743532419204712,0.6743532419204712
unseen_ra,M10-1a-StateParam-RMSCap,4,0.21947873799725648,0.10461447125332464,2.70493483543396,2.845816135406494,0.5844467878341675,0.5547577142715454
unseen_ra,M10-1a-StateParam-RMSCap,8,0.529355281207133,0.09880857539633263,3.213449001312256,3.491683959960937,0.4931188225746155,0.4521424174308777
unseen_ra,M10-1a-StateParam-RMSCap,16,0.6017832647462277,0.11222300944953294,3.3613150119781494,3.5230135917663574,0.4702655573685964,0.448121577501297
